"en","fr","de","it","ru","es"
"bass drum","grosse caisse","Grosse Trommel","cassa; grancassa;gran cassa","bol'shoi baraban","bombo"
"castenets","castagnettes","Kastagnetten","castagnette","kastan'ety","castañuelas"
"cowbells","cloches à vache",,,"caubel",
"cymbals","cymbales","Becken","piatti","tarelki","cimbalos"
"drum","tambour","Trommel","tamburo","baraban","tambor"
"glockenspiel","glockenspiel; jeu de timbres","Glockenspiel","glockenspiel;metallofono; campanelli","kolokol'chiki","campanólogo; juego de timbres; órgano de campanas"
"marimba","marimba","Marimbaphon","marimba","marimba","marimba"
"rattle","crécelle","Ratsche, Knarre, Schnarre","raganella","treshchotka","carraca, matraca"
"snare drum","caisse claire","Leinentrommel","tamburo rullante;tamburo militare;rullante","frantsuzskii baraban","tambor afinable; tambor con tensores"
"tenor drum","caisse roulante","Rührtrommel;Wirbeltrommel;Tenortrommel","cassa rullante;tamburino","tsilindricheskii baraban","redoblante"
"tambourine","tambourin","Tamburin","tamburello","buben","pandereta"
"timpani","timbales","Pauken","timpano","litavra","timbal"
"tubular bells","cloches tubulaires","Rohrenglocke","campane tubolari","trubchatye kolokola","campanas tubulares"
"xylophone","xylophone","Xylophon","xilofono","ksilofon","xilofón; xilofóno"
"Electronic instruments",,,,,
"electronic instruments",,,,"electronnye instrumenty",
"computer","ordinateur","Computerklänge",,"kompiuter",
"ondes martenot","ondes martenot",,,,
"synthesizer","synthétiseur",,"sintetizzatore","sintezator",
"tape","bande","Tonbande; Zuspielband","nastro","magnitofonnaia lenta","banda"
"Other instruments",,,,,
"dulcimer; dulcimer hammered",,"Hackbrett","salterio","tsimbaly","dulcema"
"harmonica","harmonica","Mundharmonika",,"gubnaia garmoshika",
"Instrumental ensembles",,,,,
"instrumental ensembles","ensembles instrumentaux",,,,
"band","orchestre d'instruments à vent; orchestre à vent;harmonie de concert; harmonie; orchestre d'harmonie","Blasorchester","orchestra di strumenti a fiato","dukhovoi orkestr","orquesta de vientos"
"brass band","fanfare",,,,
"chamber orchestra","orchestre de chambre","Kammerorchester","orchestra da camera","kamernyi orkestr","orquesta de cámara"
"string orchestra","orchestre à cordes","Streichorchester","orchestra d'archi","strunnyi orkestr","orquesta de cuerdas"
"orchestra","orchestre","Orchester","orchestra","orkestr","orquesta"
"Voices",,,,,
"voice","voix","Stimme","voce","golos","voz"
"soprano","soprano, dessus","Sopran","soprano","soprano","soprano"
"male alto;low soprano","bas-dessus",,,,
"mezzo soprano","mezzo-soprano","Mezzosopran","mezzosoprano","metstsosoprano; metso-soprano","mezzo-soprano"
"alto; contralto","alto; contralto","Alt","contralto","al't; kontral'to","contralto"
"tenor","ténor, taille","Tenor","tenore","tenor","tenor"
"baritone","baryton; bariton","Bariton","baritono","bariton","barítono"
"bass baritone","basse taille",,,,
"bass","basse","Bass","basso","bas","bajo"
"counter tenor","contre-ténor;haute-contre","Contratenor","controtenore","kontratenor","contratenor"
"high voice","haut","hohe","acuto","vysokaia","agudo"
"medium voice","médium; moyen","mittlere","medio","sredniaia","medio"
"low voice","grave","tiefe","grave","nizkaia","grave"
"Vocal ensembles",,,,,
"vocal ensembles","ensembles vocaux",,,,
"chorus","chœur","Chor","coro","khor","coro"
"mixed voices","voix mixtes","gemischte Stimmen","voci miste","smeshannye golosa","voces mixtas"
"women's voices","chœur de femmes","Frauenchor;Frauenstimme","coro femminile","zhenskii khor","coro femenino"
"men's voices","chœur d'hommes","Männerchor;Männerstimme","coro maschile","muzhskoi khor","coro masculino;choro de hombres"
"children's voices","chœur d'enfants","Kinderchor","voci bianche","detskii khor","coro infantil;coro de niños"
"equal voices","voix égales","gleiche Stimmen","voci pari","odnorodnye golosa","voces iguales"
